case,family,noise_std,noise_seed,variant,run,status,touches,false_stop,quality_met,final_rmse,final_max_error,coverage_95,interval_width,motion_time,audit_touches,coverage_touches,optimizer_fallbacks,distance,time_averaged_rmse,repeat_fraction,compute_p95_seconds,wall_seconds,rmse_at_available_8,rmse_at_available_16,rmse_at_available_32,rmse_at_available_64,rmse_at_available_128
ellipse-validation-1,ellipse,0.005,52002,fixed-budget,ellipse-validation-1-n0-s52002-fixed-budget,budget_exhausted,128,False,True,0.004555915543827084,0.012267213964826718,0.977783203125,0.02117644850180587,309.9556853315717,0,0,0,213.09149563529417,0.044867623419907146,0.0,0.021068652899521107,4.1521858040014195,0.025902992222465022,0.004392256809592158,0.0038678625598333265,0.004217302918078961,0.004555915543827084
ellipse-validation-1,ellipse,0.005,52002,learned-budget,ellipse-validation-1-n0-s52002-learned-budget,budget_exhausted,128,False,True,0.002366643121717313,0.005875267462351785,0.983154296875,0.010928857820558609,299.21593183230874,0,0,0,203.51819686284554,0.04477950334047726,0.046875,0.01766611909970379,3.7673738389985374,0.025902992222465022,0.0037309764499475415,0.0033533399505495396,0.002920523302495989,0.002366643121717313
ellipse-validation-1,ellipse,0.005,52002,learned-coverage,ellipse-validation-1-n0-s52002-learned-coverage,budget_exhausted,128,False,True,0.0025431130522845687,0.005661234705052198,0.994384765625,0.010882733548267153,313.63246741879055,0,24,0,217.236198483266,0.04478604792594961,0.015625,0.02003483294929537,3.6139576519999537,0.025902992222465022,0.0037309764499475415,0.0031890062360964344,0.0028723398436211627,0.0025431130522845687
ellipse-validation-1,ellipse,0.005,52002,uncertainty-stop,ellipse-validation-1-n0-s52002-uncertainty-stop,confident,26,False,True,0.0032383953461052025,0.0071682599869382635,1.0,0.023310232931258605,70.26194998519425,0,3,0,50.61502264228306,0.04478604792594961,0.0,0.012329872250120388,0.3341992490004486,0.025902992222465022,0.0037309764499475415,0.0032383953461052025,0.0032383953461052025,0.0032383953461052025
ellipse-validation-1,ellipse,0.005,52002,guarded-stop,ellipse-validation-1-n0-s52002-guarded-stop,confident,34,False,True,0.0032044986646436115,0.007164639245886395,1.0,0.01878884472526926,91.51799709266112,2,4,0,65.82981161139163,0.04478604792594961,0.0,0.011863283650018274,0.42418793000069854,0.025902992222465022,0.0037309764499475415,0.0031890062360964344,0.0032044986646436115,0.0032044986646436115
ellipse-validation-2,ellipse,0.005,52001,fixed-budget,ellipse-validation-2-n0-s52001-fixed-budget,budget_exhausted,128,False,True,0.0043596036720452425,0.015498367248974798,0.984130859375,0.021288641891767733,290.3924899762437,0,0,0,198.92853676939382,0.040236488160767026,0.0,0.018392659450182692,3.9382289959994523,0.032540153665642786,0.005263642304439412,0.005047072160251238,0.004381519951280573,0.0043596036720452425
ellipse-validation-2,ellipse,0.005,52001,learned-budget,ellipse-validation-2-n0-s52001-learned-budget,budget_exhausted,128,False,True,0.0022963164461109217,0.005425880110641934,0.990966796875,0.01088450375933728,283.20571482834436,0,0,0,192.80381270585892,0.040044866232014316,0.046875,0.020506931949512364,4.002478946000338,0.032540153665642786,0.004416880999859753,0.0045021437201347965,0.0031747115981232542,0.0022963164461109217
ellipse-validation-2,ellipse,0.005,52001,learned-coverage,ellipse-validation-2-n0-s52001-learned-coverage,budget_exhausted,128,False,True,0.0024466277957148107,0.006902658883249813,0.981201171875,0.010893581641178016,291.29795053652583,0,24,0,200.546649770637,0.040044866232014316,0.0625,0.019946027899368345,3.915935802000604,0.032540153665642786,0.004416880999859753,0.004087168273309544,0.003052558620891887,0.0024466277957148107
ellipse-validation-2,ellipse,0.005,52001,uncertainty-stop,ellipse-validation-2-n0-s52001-uncertainty-stop,confident,32,False,True,0.004087168273309544,0.009114236684008237,1.0,0.01984822190703361,82.78747752533972,0,4,0,59.973426357701264,0.040044866232014316,0.0,0.01592032745047618,0.5347089410006447,0.032540153665642786,0.004416880999859753,0.004087168273309544,0.004087168273309544,0.004087168273309544
ellipse-validation-2,ellipse,0.005,52001,guarded-stop,ellipse-validation-2-n0-s52001-guarded-stop,confident,34,False,True,0.0040577710558908275,0.009114231844875476,1.0,0.019452019610191072,87.56797585914406,2,4,0,63.26191396933004,0.040044866232014316,0.0,0.01630732075072956,0.5875733680004487,0.032540153665642786,0.004416880999859753,0.004087168273309544,0.0040577710558908275,0.0040577710558908275
