case,family,noise_std,noise_seed,policy,run,status,final_rmse,final_max_error,coverage_95,interval_width,motion_time,distance,time_averaged_rmse,repeat_fraction,compute_p95_seconds,wall_seconds,rmse_at_8,rmse_at_16,rmse_at_32,rmse_at_64,rmse_at_128
circle-2,circle,0.0,51001,random,circle-2-n0-s51001-random,budget_exhausted,9.378981302546422e-06,6.704657291545235e-05,1.0,0.017161534007472567,381.02353166907915,303.159722533298,0.019421880702567337,0.0,0.004407936424831859,3.151630734995706,0.007966067448994398,0.006823315260255917,0.0020357762591686496,0.0009669099470531909,9.378981302546422e-06
circle-2,circle,0.0,51001,sweep,circle-2-n0-s51001-sweep,budget_exhausted,2.1810279779200858e-07,3.418505956087614e-07,1.0,0.010492975478419438,194.12331247309297,116.25950333731129,0.019654195352949703,0.0,0.004873331382987088,2.8849559079972096,0.007966067448994398,0.007647050527026799,0.007118858476527519,0.005902191983228424,2.1810279779200858e-07
circle-2,circle,0.0,51001,gap,circle-2-n0-s51001-gap,budget_exhausted,2.1810279779576e-07,3.418505956087614e-07,1.0,0.01049297547841763,212.28564500165925,134.42183586587743,0.017005867476909395,0.0,0.0075846962543437224,3.178906954010017,0.007966067448994398,0.0007794487450629657,5.411675733460445e-05,3.468091842369723e-06,2.1810279779576e-07
circle-2,circle,0.0,51001,variance,circle-2-n0-s51001-variance,budget_exhausted,2.1810279779410134e-07,3.418505956087614e-07,1.0,0.010492975478408129,349.828498366637,271.96468923085564,0.018391956002325946,0.0,0.005945404645171946,2.9444433909957297,0.007966067448994398,0.0007794487450629639,5.4116757334599724e-05,3.468091842369009e-06,2.1810279779410134e-07
circle-2,circle,0.0,51001,cost,circle-2-n0-s51001-cost,budget_exhausted,6.466245709508339e-07,2.8524201161062024e-06,1.0,0.010995261687779926,250.6474365451026,172.78362740932155,0.017003146598279582,0.0,0.021914321578515222,4.526585421990603,0.007966067448994398,0.0009428193032067902,7.401960499426393e-05,6.126326825712104e-06,6.466245709508339e-07
circle-2,circle,0.0,51002,random,circle-2-n0-s51002-random,budget_exhausted,9.378981302546422e-06,6.704657291545235e-05,1.0,0.017161534007472567,381.02353166907915,303.159722533298,0.019421880702567337,0.0,0.004737834646948611,3.025468884006841,0.007966067448994398,0.006823315260255917,0.0020357762591686496,0.0009669099470531909,9.378981302546422e-06
circle-2,circle,0.0,51002,sweep,circle-2-n0-s51002-sweep,budget_exhausted,2.1810279779200858e-07,3.418505956087614e-07,1.0,0.010492975478419438,194.12331247309297,116.25950333731129,0.019654195352949703,0.0,0.004317610172438431,2.873349688015878,0.007966067448994398,0.007647050527026799,0.007118858476527519,0.005902191983228424,2.1810279779200858e-07
circle-2,circle,0.0,51002,gap,circle-2-n0-s51002-gap,budget_exhausted,2.1810279779576e-07,3.418505956087614e-07,1.0,0.01049297547841763,212.28564500165925,134.42183586587743,0.017005867476909395,0.0,0.008080104448890778,3.0671933479898144,0.007966067448994398,0.0007794487450629657,5.411675733460445e-05,3.468091842369723e-06,2.1810279779576e-07
circle-2,circle,0.0,51002,variance,circle-2-n0-s51002-variance,budget_exhausted,2.1810279779410134e-07,3.418505956087614e-07,1.0,0.010492975478408129,349.828498366637,271.96468923085564,0.018391956002325946,0.0,0.0048606337295495905,3.0305388440028764,0.007966067448994398,0.0007794487450629639,5.4116757334599724e-05,3.468091842369009e-06,2.1810279779410134e-07
circle-2,circle,0.0,51002,cost,circle-2-n0-s51002-cost,budget_exhausted,6.466245709508339e-07,2.8524201161062024e-06,1.0,0.010995261687779926,250.6474365451026,172.78362740932155,0.017003146598279582,0.0,0.023991385236149642,4.86208662900026,0.007966067448994398,0.0009428193032067902,7.401960499426393e-05,6.126326825712104e-06,6.466245709508339e-07
circle-2,circle,0.005,51001,random,circle-2-n1-s51001-random,budget_exhausted,0.005004058395948026,0.011995807516038237,0.982177734375,0.027349908514470736,381.02353166907915,303.159722533298,0.021525644369893335,0.0,0.004679923092771787,3.4784359330078587,0.009796233406729879,0.010393189560756265,0.00527537923712877,0.005623342297008082,0.005004058395948026
circle-2,circle,0.005,51001,sweep,circle-2-n1-s51001-sweep,budget_exhausted,0.004460170532833977,0.011196535660355833,0.9765625,0.0205785425135418,194.12331247309297,116.25950333731129,0.021932707348500027,0.0,0.00470912356104236,3.201683260995196,0.009796233406729879,0.01089512260439785,0.011223848566940772,0.011338619351206366,0.004460170532833977
circle-2,circle,0.005,51001,gap,circle-2-n1-s51001-gap,budget_exhausted,0.004460170532833831,0.011196535660353168,0.9765625,0.020578542513537575,212.28564500165925,134.42183586587743,0.0194112522464388,0.0,0.006533512342139147,3.435390001977794,0.009796233406729879,0.005252270427311181,0.0052274953909681445,0.005530060864734744,0.004460170532833831
circle-2,circle,0.005,51001,variance,circle-2-n1-s51001-variance,budget_exhausted,0.004460170532833728,0.011196535660354945,0.9765625,0.0205785425135377,325.97202915343945,248.1082200176586,0.020071412716387526,0.0,0.006982004361634604,3.3774415540101472,0.009796233406729879,0.005252270427311182,0.005227495390968147,0.005530060864734723,0.004460170532833728
circle-2,circle,0.005,51001,cost,circle-2-n1-s51001-cost,budget_exhausted,0.004045167740925128,0.010611816858593803,0.995361328125,0.021065486361213547,245.71415433126245,167.8503451954814,0.01852404013467291,0.0,0.030262261095049318,4.748450526007218,0.009796233406729879,0.0036338486123530743,0.004808618669929388,0.004461623561493542,0.004045167740925128
circle-2,circle,0.005,51002,random,circle-2-n1-s51002-random,budget_exhausted,0.004895321671325557,0.014801614982532518,0.9755859375,0.027349908514470736,381.02353166907915,303.159722533298,0.021882628220985967,0.0,0.0033845994737930593,3.2308242360013537,0.009073923271959737,0.010539847615468164,0.00786083190743363,0.006238359002376646,0.004895321671325557
circle-2,circle,0.005,51002,sweep,circle-2-n1-s51002-sweep,budget_exhausted,0.0041992217003027025,0.01405598844985545,0.9814453125,0.0205785425135418,194.12331247309297,116.25950333731129,0.022148168923814424,0.0,0.004331142983573953,3.4250356259872206,0.009073923271959737,0.011140391088253154,0.010026875151348537,0.009250401855686255,0.0041992217003027025
circle-2,circle,0.005,51002,gap,circle-2-n1-s51002-gap,budget_exhausted,0.004199221700302598,0.014055988449857226,0.9814453125,0.020578542513537905,212.28564500165925,134.42183586587743,0.01908428077915303,0.0,0.008826421252160791,3.585089820990106,0.009073923271959737,0.004518707786995922,0.004146674804368121,0.004439527819564614,0.004199221700302598
circle-2,circle,0.005,51002,variance,circle-2-n1-s51002-variance,budget_exhausted,0.004199221700302548,0.014055988449857226,0.9814453125,0.020578542513537683,325.97202915343945,248.1082200176586,0.01975275261188239,0.0,0.0073151813601725684,3.2811337460007053,0.009073923271959737,0.004518707786995922,0.00414667480436812,0.0044395278195646145,0.004199221700302548
